"Step","a3c_runseed=4 - training/episode/length","a3c_runseed=4 - training/episode/length__MIN","a3c_runseed=4 - training/episode/length__MAX","a3c_runseed=3 - training/episode/length","a3c_runseed=3 - training/episode/length__MIN","a3c_runseed=3 - training/episode/length__MAX","a3c_runseed=2 - training/episode/length","a3c_runseed=2 - training/episode/length__MIN","a3c_runseed=2 - training/episode/length__MAX","a3c_runseed=1 - training/episode/length","a3c_runseed=1 - training/episode/length__MIN","a3c_runseed=1 - training/episode/length__MAX","a3c_runseed=0 - training/episode/length","a3c_runseed=0 - training/episode/length__MIN","a3c_runseed=0 - training/episode/length__MAX"
"15439552","","","","","","","","","","","","","4107","4107","4107"
"15439744","2711","2711","2711","","","","","","","","","","","",""
"15440896","3804","3804","3804","","","","","","","","","","","",""
"15441856","","","","2413","2413","2413","","","","","","","","",""
"15442816","","","","","","","","","","","","","1323","1323","1323"
"15443200","212","212","212","","","","","","","","","","","",""
"15443456","","","","142","142","142","","","","","","","","",""
"15443776","","","","","","","","","","","","","1203","1203","1203"
"15443968","","","","1194","1194","1194","","","","","","","","",""
"15444864","","","","","","","1049","1049","1049","","","","","",""
"15445632","276","276","276","","","","","","","","","","","",""
"15445824","1397","1397","1397","","","","","","","","","","","",""
"15446976","","","","","","","1054","1054","1054","701","701","701","","",""
"15447488","","","","708","708","708","","","","","","","","",""
"15449344","","","","","","","","","","","","","4808","4808","4808"
"15449728","","","","","","","","","","","","","4293","4293","4293"
"15450112","","","","","","","","","","2174","2174","2174","","",""
"15450176","","","","","","","2815","2815","2815","","","","","",""
"15450368","432","432","432","","","","","","","","","","","",""
"15450624","","","","","","","1499","1499","1499","","","","","",""
"15451584","","","","","","","","","","638","638","638","2365","2365","2365"
"15452416","559","559","559","","","","","","","","","","","",""
"15452544","449","449","449","570","570","570","","","","","","","","",""
"15454592","","","","","","","","","","477","477","477","","",""
"15454656","","","","","","","","","","","","","2202","2202","2202"
"15454720","","","","","","","","","","3907","3907","3907","","",""
"15455424","","","","","","","1587","1587","1587","","","","","",""
"15457152","","","","","","","","","","","","","986","986","986"
"15458688","1773","1773","1773","","","","","","","","","","","",""
"15459200","","","","","","","428","428","428","","","","","",""
"15460160","","","","","","","911","911","911","","","","","",""
"15460416","","","","785","785","785","","","","","","","","",""
"15460928","","","","883","883","883","","","","","","","","",""
"15461184","","","","3383","3383","3383","","","","1903","1903","1903","","",""
"15461696","","","","","","","","","","2317","2317","2317","","",""
"15462208","","","","","","","","","","956","956","956","","",""
"15462656","","","","","","","","","","","","","1009","1009","1009"
"15462720","","","","","","","","","","461","461","461","","",""
"15463872","2717","2717","2717","","","","","","","","","","","",""
"15463936","","","","341","341","341","","","","","","","","",""
"15465664","","","","1866","1866","1866","","","","","","","","",""
"15465856","","","","208","208","208","","","","","","","","",""
"15466496","","","","2180","2180","2180","","","","","","","","",""
"15466688","","","","1863","1863","1863","","","","","","","","",""
"15466816","","","","","","","310","310","310","","","","","",""
"15467392","","","","1943","1943","1943","269","269","269","","","","","",""
"15467584","618","618","618","","","","","","","","","","","",""
"15468032","","","","","","","1220","1220","1220","","","","","",""
"15469568","983","983","983","","","","","","","","","","","",""
"15469952","","","","","","","","","","980","980","980","","",""
"15470656","","","","5000","5000","5000","","","","","","","","",""
"15471040","","","","","","","1985","1985","1985","","","","2736","2736","2736"
"15471232","","","","","","","775","775","775","","","","","",""
"15471488","719","719","719","","","","","","","","","","","",""
"15471680","","","","","","","","","","386","386","386","","",""
"15472704","","","","","","","","","","","","","255","255","255"
"15473088","467","467","467","","","","","","","","","","","",""
"15473920","","","","","","","","","","","","","661","661","661"
"15474176","","","","","","","","","","2378","2378","2378","","",""
"15474560","","","","","","","636","636","636","","","","","",""
"15475008","","","","518","518","518","","","","","","","","",""
"15477504","","","","","","","","","","","","","5000","5000","5000"
"15477696","","","","924","924","924","","","","","","","","",""
"15479872","","","","","","","1930","1930","1930","","","","","",""
"15481152","","","","1531","1531","1531","","","","","","","","",""
"15481408","","","","860","860","860","","","","","","","","",""
"15483136","","","","260","260","260","","","","","","","","",""
"15483200","1381","1381","1381","","","","","","","","","","","",""
"15483264","253","253","253","","","","","","","","","","","",""
"15486848","","","","","","","","","","994","994","994","","",""
"15487040","","","","1385","1385","1385","","","","","","","","",""
"15487296","","","","","","","","","","","","","4160","4160","4160"
"15487488","","","","","","","1195","1195","1195","","","","","",""
"15489344","658","658","658","","","","","","","","","","","",""
"15489792","","","","","","","","","","391","391","391","","",""
"15490304","","","","","","","","","","306","306","306","","",""
"15491264","","","","","","","","","","","","","572","572","572"
"15494912","","","","","","","","","","1753","1753","1753","","",""
"15495680","","","","","","","","","","","","","877","877","877"
"15496192","","","","","","","","","","1487","1487","1487","","",""
"15496448","2204","2204","2204","","","","","","","","","","","",""
"15498304","","","","537","537","537","","","","","","","","",""
"15499264","","","","1692","1692","1692","","","","","","","","",""
"15500032","","","","919","919","919","","","","","","","","",""
"15500224","","","","","","","","","","","","","5000","5000","5000"
"15501568","","","","","","","1464","1464","1464","","","","","",""
"15502080","","","","","","","","","","3195","3195","3195","","",""
"15502144","","","","3050","3050","3050","","","","","","","","",""
"15502848","1014","1014","1014","","","","","","","","","","","",""
"15503680","","","","","","","","","","500","500","500","","",""
"15504256","","","","865","865","865","","","","665","665","665","","",""
"15504384","","","","","","","521","521","521","","","","","",""
"15504512","1272","1272","1272","","","","","","","","","","","",""
"15504704","426","426","426","","","","","","","","","","","",""
"15507008","","","","","","","","","","","","","2052","2052","2052"
"15507776","","","","","","","","","","1140","1140","1140","","",""
"15507904","","","","1007","1007","1007","2099","2099","2099","","","","","",""
"15508224","","","","","","","443","443","443","","","","","",""
"15508672","","","","","","","","","","103","103","103","","",""
"15508800","","","","","","","","","","2649","2649","2649","","",""
"15509120","","","","","","","630","630","630","5000","5000","5000","","",""
"15509248","406","406","406","","","","","","","","","","","",""
"15509632","","","","","","","3979","3979","3979","","","","","",""
"15510016","900","900","900","","","","","","","","","","","",""
"15510848","","","","","","","3275","3275","3275","","","","","",""
"15512768","1697","1697","1697","","","","","","","","","","","",""
"15513984","","","","","","","2537","2537","2537","","","","","",""
"15515520","2377","2377","2377","","","","","","","","","","","",""
"15515584","","","","4642","4642","4642","","","","","","","","",""
"15515904","","","","782","782","782","","","","","","","","",""
"15516992","226","226","226","","","","","","","","","","","",""
"15517184","","","","","","","2103","2103","2103","","","","","",""
"15517440","374","374","374","","","","","","","","","","","",""
"15519232","","","","","","","","","","460","460","460","","",""
"15519488","","","","","","","","","","","","","757","757","757"
"15519552","","","","","","","1703","1703","1703","","","","","",""
"15521088","1518","1518","1518","","","","","","","","","","","",""
"15521344","788","788","788","","","","","","","","","","","",""
"15522688","","","","","","","992","992","992","","","","","",""
"15523008","2486","2486","2486","","","","","","","1070","1070","1070","","",""
"15523264","","","","","","","213","213","213","","","","","",""
"15524096","","","","","","","","","","","","","2660","2660","2660"
"15526208","","","","1762","1762","1762","","","","","","","","",""
"15526336","","","","","","","","","","290","290","290","","",""
"15526912","","","","494","494","494","","","","","","","","",""
"15527616","","","","1262","1262","1262","","","","","","","","",""
"15527744","","","","721","721","721","","","","","","","","",""
"15528320","","","","","","","","","","3425","3425","3425","","",""
"15528384","","","","181","181","181","","","","","","","","",""
"15528832","","","","","","","","","","","","","1922","1922","1922"
"15529152","","","","","","","","","","","","","1864","1864","1864"
"15529408","","","","2787","2787","2787","","","","","","","","",""
"15529536","","","","487","487","487","","","","","","","","",""
"15529664","","","","","","","","","","3303","3303","3303","","",""
"15529920","","","","","","","","","","487","487","487","","",""
"15529984","975","975","975","","","","","","","","","","","",""
"15530432","","","","2778","2778","2778","","","","","","","","",""
"15530688","","","","","","","989","989","989","","","","","",""
"15531136","","","","1464","1464","1464","","","","","","","","",""
"15531712","","","","","","","2576","2576","2576","","","","","",""
"15532352","","","","","","","","","","","","","1526","1526","1526"
"15532864","1437","1437","1437","","","","","","","","","","","",""
"15533696","","","","","","","292","292","292","","","","","",""
"15534016","","","","","","","","","","","","","2018","2018","2018"
"15534464","","","","","","","2484","2484","2484","","","","","",""
"15534976","","","","","","","572","572","572","","","","","",""
"15536768","","","","","","","","","","","","","3918","3918","3918"
"15538048","","","","","","","551","551","551","","","","","",""
"15538304","","","","475","475","475","","","","","","","","",""
"15538560","","","","1457","1457","1457","","","","","","","","",""
"15539136","386","386","386","","","","","","","","","","","",""
"15539456","","","","1578","1578","1578","","","","","","","","",""
"15539712","","","","","","","451","451","451","","","","","",""
"15539776","422","422","422","","","","","","","","","","","",""
"15540416","","","","","","","489","489","489","","","","1301","1301","1301"
"15540864","1084","1084","1084","","","","","","","","","","","",""
"15540992","","","","","","","422","422","422","","","","","",""
"15543168","","","","","","","901","901","901","","","","","",""
"15544640","1177","1177","1177","","","","","","","","","","","",""
"15544704","","","","","","","991","991","991","","","","","",""
"15544896","","","","","","","","","","1118","1118","1118","","",""
"15545344","","","","","","","270","270","270","","","","","",""
"15545536","","","","","","","","","","","","","5000","5000","5000"
"15545920","","","","","","","","","","","","","1032","1032","1032"
"15546880","","","","","","","","","","642","642","642","","",""
"15546944","","","","","","","1062","1062","1062","","","","","",""
"15547264","","","","","","","","","","","","","4841","4841","4841"
"15547392","","","","","","","","","","","","","631","631","631"
"15547968","","","","","","","","","","829","829","829","","",""
"15548032","","","","","","","","","","","","","1644","1644","1644"
"15551104","629","629","629","","","","","","","","","","","",""
"15551488","","","","","","","553","553","553","","","","","",""
"15551936","","","","","","","697","697","697","","","","","",""
"15552320","","","","","","","","","","4456","4456","4456","","",""
"15552512","634","634","634","","","","","","","","","","","",""
"15554176","218","218","218","","","","","","","","","","","",""
"15554368","","","","","","","","","","","","","405","405","405"
"15554688","","","","","","","","","","2939","2939","2939","","",""
"15554752","","","","789","789","789","","","","","","","","",""
"15555072","","","","1453","1453","1453","","","","","","","","",""
"15555136","","","","861","861","861","","","","","","","","",""
"15555200","","","","260","260","260","","","","","","","","",""
"15555264","","","","","","","","","","1069","1069","1069","","",""
"15555648","","","","","","","","","","1417","1417","1417","","",""
"15556544","","","","","","","","","","","","","2148","2148","2148"
"15558080","","","","","","","547","547","547","","","","","",""
"15558592","","","","","","","915","915","915","","","","","",""
"15558784","","","","","","","2080","2080","2080","","","","","",""
"15559232","","","","","","","","","","1633","1633","1633","","",""
"15559296","","","","","","","334","334","334","","","","","",""
"15561536","","","","","","","321","321","321","","","","","",""
"15561984","","","","","","","1830","1830","1830","","","","","",""
"15562432","","","","","","","","","","819","819","819","","",""
"15562624","","","","","","","","","","511","511","511","","",""
"15563328","","","","1177","1177","1177","","","","","","","","",""
"15566080","","","","2549","2549","2549","","","","","","","","",""
"15566144","","","","","","","","","","2008","2008","2008","","",""
"15566720","","","","","","","","","","1387","1387","1387","","",""
"15568384","","","","","","","","","","","","","494","494","494"
"15568832","","","","","","","468","468","468","","","","","",""
"15569024","","","","","","","","","","1548","1548","1548","","",""
"15569344","","","","1542","1542","1542","","","","","","","","",""
"15569728","392","392","392","","","","","","","","","","","",""
"15569984","1737","1737","1737","","","","","","","","","","","",""
"15570624","2058","2058","2058","","","","","","","","","","","",""
"15571776","","","","132","132","132","","","","","","","","",""
"15572032","","","","","","","771","771","771","","","","","",""
"15572160","","","","1750","1750","1750","","","","","","","","",""
"15572352","","","","2802","2802","2802","","","","","","","","",""
"15573696","879","879","879","","","","","","","","","","","",""
"15574144","","","","","","","","","","","","","4441","4441","4441"
"15575872","2232","2232","2232","","","","","","","","","","","",""
"15576192","1380","1380","1380","","","","","","","","","","","",""
"15576448","","","","","","","","","","4452","4452","4452","","",""
"15577600","839","839","839","","","","","","","","","","","",""
"15578304","","","","","","","371","371","371","","","","","",""
"15578816","","","","","","","","","","","","","4590","4590","4590"
"15579136","","","","","","","","","","","","","2035","2035","2035"
"15579712","","","","","","","571","571","571","1104","1104","1104","","",""
"15579840","1238","1238","1238","","","","","","","","","","","",""
"15580544","477","477","477","","","","","","","","","","","",""
"15580864","","","","","","","","","","655","655","655","","",""
"15582016","","","","","","","","","","","","","4413","4413","4413"
"15582400","561","561","561","","","","","","","","","","","",""
"15582528","685","685","685","","","","","","","","","","","",""
"15582656","","","","","","","","","","880","880","880","","",""
"15583360","","","","1812","1812","1812","","","","","","","","",""
"15583488","","","","","","","","","","","","","196","196","196"
"15584320","","","","1938","1938","1938","1817","1817","1817","","","","","",""
"15584704","","","","","","","","","","","","","4084","4084","4084"
"15585216","","","","733","733","733","","","","","","","","",""
"15586560","","","","420","420","420","","","","2352","2352","2352","","",""
"15586752","","","","","","","","","","623","623","623","","",""
"15586880","2686","2686","2686","","","","","","","","","","","",""
"15587776","","","","","","","","","","","","","2521","2521","2521"
"15588352","","","","2792","2792","2792","","","","","","","","",""
"15590656","","","","1711","1711","1711","","","","","","","","",""
"15590784","","","","","","","","","","669","669","669","","",""
"15591040","","","","","","","876","876","876","","","","","",""
"15591360","","","","190","190","190","","","","","","","","",""
"15592000","1390","1390","1390","","","","","","","","","","","",""
"15592320","","","","1009","1009","1009","","","","","","","","",""
"15593088","","","","593","593","593","","","","","","","","",""
"15595072","","","","","","","348","348","348","","","","","",""
"15596160","","","","1728","1728","1728","","","","","","","","",""
"15597120","","","","1031","1031","1031","","","","","","","","",""
"15597824","907","907","907","","","","","","","","","","","",""
"15597952","","","","","","","","","","661","661","661","","",""
"15598464","","","","","","","","","","950","950","950","","",""
"15598912","1547","1547","1547","","","","","","","","","","","",""
"15599040","","","","","","","472","472","472","","","","","",""
"15599488","","","","","","","","","","658","658","658","","",""
"15600384","","","","3415","3415","3415","","","","","","","","",""
"15600960","","","","260","260","260","","","","","","","","",""
"15601408","","","","252","252","252","","","","","","","","",""
"15601920","","","","","","","","","","3056","3056","3056","","",""
"15603712","2645","2645","2645","","","","","","","","","","4202","4202","4202"
"15607168","","","","","","","","","","","","","438","438","438"
"15607232","","","","","","","655","655","655","","","","","",""
"15607808","","","","","","","","","","709","709","709","","",""
"15608128","","","","","","","","","","398","398","398","","",""
"15608832","874","874","874","","","","","","","","","","","",""
"15609472","","","","","","","","","","","","","972","972","972"
"15609664","","","","","","","","","","","","","2592","2592","2592"
"15609920","1452","1452","1452","","","","","","","","","","","",""
"15613184","","","","","","","","","","","","","2774","2774","2774"
"15613504","","","","","","","","","","1661","1661","1661","","",""
"15614272","392","392","392","","","","","","","","","","","",""
"15615744","","","","","","","","","","3580","3580","3580","","",""
"15617344","","","","","","","","","","","","","2590","2590","2590"
"15617600","","","","79","79","79","","","","","","","","",""
"15617728","920","920","920","","","","","","","","","","","",""
"15618240","","","","","","","864","864","864","","","","","",""
"15618880","","","","","","","","","","","","","699","699","699"
"15619072","","","","","","","","","","","","","2268","2268","2268"
"15620352","","","","1632","1632","1632","","","","","","","","",""
"15620544","","","","","","","","","","3332","3332","3332","","",""
"15620672","","","","","","","655","655","655","","","","","",""
"15622208","","","","","","","","","","969","969","969","","",""
"15624256","","","","","","","1917","1917","1917","","","","","",""
"15624320","","","","","","","","","","","","","2157","2157","2157"
"15624512","1006","1006","1006","","","","","","","","","","","",""
"15625536","","","","","","","","","","188","188","188","","",""
"15627008","","","","","","","","","","","","","2918","2918","2918"
"15628032","","","","","","","","","","","","","3930","3930","3930"
"15629120","","","","1000","1000","1000","","","","","","","","",""
"15630080","","","","","","","","","","1732","1732","1732","","",""
"15630144","","","","579","579","579","","","","","","","","",""
"15630784","","","","","","","","","","798","798","798","3431","3431","3431"
"15631808","","","","","","","","","","3106","3106","3106","","",""
"15632704","","","","721","721","721","","","","","","","","",""
"15632768","","","","","","","272","272","272","","","","","",""
"15633728","","","","","","","","","","2032","2032","2032","","",""
"15635520","","","","","","","","","","1837","1837","1837","","",""
"15635904","","","","","","","","","","","","","2475","2475","2475"
"15636032","1547","1547","1547","","","","","","","","","","412","412","412"
"15636544","","","","","","","672","672","672","","","","","",""
"15638144","","","","","","","","","","855","855","855","","",""
"15639744","","","","","","","","","","","","","860","860","860"
"15640576","","","","","","","","","","","","","4751","4751","4751"
"15642048","","","","","","","2769","2769","2769","","","","","",""
"15642560","","","","","","","","","","717","717","717","","",""
"15643456","","","","","","","","","","198","198","198","","",""
"15643648","","","","1198","1198","1198","","","","","","","","",""
"15644416","","","","","","","","","","","","","1544","1544","1544"
"15645632","","","","","","","1016","1016","1016","","","","","",""
"15646208","","","","","","","","","","726","726","726","","",""
"15647936","594","594","594","","","","","","","","","","","",""
"15648064","","","","","","","","","","","","","1673","1673","1673"
"15648832","401","401","401","","","","","","","","","","","",""
"15649152","","","","","","","1013","1013","1013","","","","","",""
"15649600","","","","","","","","","","","","","1508","1508","1508"
"15649856","566","566","566","","","","","","","","","","","",""
"15651008","","","","","","","","","","1259","1259","1259","","",""
"15651072","","","","","","","","","","243","243","243","","",""
"15653568","3866","3866","3866","","","","","","","","","","","",""
"15654848","","","","","","","","","","","","","1570","1570","1570"
"15655040","","","","","","","","","","2356","2356","2356","","",""
"15656000","","","","","","","","","","1459","1459","1459","","",""
"15656704","","","","","","","","","","3031","3031","3031","","",""
"15656832","","","","","","","1702","1702","1702","","","","","",""
"15657088","","","","","","","","","","246","246","246","","",""
"15657472","2654","2654","2654","","","","","","","","","","","",""
"15659520","","","","","","","1643","1643","1643","","","","","",""
"15659840","","","","","","","2947","2947","2947","","","","","",""
"15661120","","","","736","736","736","","","","","","","","",""
"15661440","","","","545","545","545","","","","","","","","",""
"15661888","","","","456","456","456","","","","","","","","",""
"15662144","","","","","","","","","","","","","2229","2229","2229"
"15663616","","","","","","","","","","4094","4094","4094","","",""
"15664064","","","","","","","404","404","404","","","","","",""
"15664576","","","","","","","2045","2045","2045","","","","","",""
"15664640","","","","","","","","","","554","554","554","","",""
"15664768","","","","","","","","","","","","","531","531","531"
"15664960","","","","","","","354","354","354","","","","","",""
"15665152","","","","","","","","","","959","959","959","","",""
"15666880","","","","","","","","","","","","","1130","1130","1130"
"15667072","","","","902","902","902","","","","","","","","",""
"15667328","3035","3035","3035","","","","","","","","","","","",""
"15667456","2283","2283","2283","","","","","","","","","","","",""
"15670848","","","","","","","","","","1471","1471","1471","","",""
"15671424","367","367","367","","","","","","","","","","","",""
"15672064","1383","1383","1383","","","","","","","","","","","",""
"15673408","","","","","","","","","","425","425","425","","",""
"15673600","1219","1219","1219","","","","","","","","","","","",""
"15673984","","","","","","","2450","2450","2450","","","","","",""
"15674240","","","","","","","","","","3502","3502","3502","","",""
"15674944","1097","1097","1097","","","","","","","","","","","",""
"15675136","","","","","","","","","","","","","5000","5000","5000"
"15675200","475","475","475","","","","","","","","","","","",""
"15675264","","","","","","","1694","1694","1694","","","","","",""
"15675328","821","821","821","","","","","","","","","","","",""
"15676096","","","","","","","","","","2518","2518","2518","","",""
"15676992","","","","4714","4714","4714","","","","","","","","",""
"15678912","","","","","","","","","","","","","2078","2078","2078"
"15679808","","","","2271","2271","2271","","","","","","","","",""
"15680192","","","","","","","444","444","444","","","","","",""
"15680640","983","983","983","","","","","","","","","","","",""
"15680704","1149","1149","1149","","","","","","","","","","","",""
"15681408","","","","","","","","","","","","","227","227","227"
"15681984","165","165","165","","","","","","","","","","","",""
"15682688","","","","","","","2139","2139","2139","","","","","",""
"15683264","","","","918","918","918","","","","","","","","",""
"15683648","","","","","","","","","","510","510","510","","",""
"15684672","","","","","","","","","","985","985","985","","",""
"15684992","","","","1181","1181","1181","","","","","","","","",""
"15685760","","","","","","","","","","","","","5000","5000","5000"
"15686720","301","301","301","","","","","","","","","","","",""
"15686848","","","","","","","","","","","","","1128","1128","1128"
"15687424","","","","1671","1671","1671","","","","","","","","",""
"15687552","","","","","","","","","","898","898","898","","",""
"15687808","1742","1742","1742","","","","","","","","","","","",""
"15687936","","","","","","","712","712","712","","","","","",""
"15688320","","","","","","","","","","","","","333","333","333"
"15688832","","","","","","","","","","1532","1532","1532","","",""
"15689664","","","","","","","","","","","","","890","890","890"
"15691136","","","","1409","1409","1409","","","","196","196","196","","",""
"15691712","3845","3845","3845","","","","","","","","","","","",""
"15692288","","","","3615","3615","3615","","","","","","","","",""
"15692416","","","","","","","1619","1619","1619","","","","","",""
"15695360","","","","","","","","","","1697","1697","1697","","",""
"15695680","","","","1936","1936","1936","","","","","","","","",""
"15696128","","","","3992","3992","3992","","","","","","","","",""
"15696384","","","","","","","","","","1303","1303","1303","","",""
"15696448","","","","534","534","534","","","","","","","","",""
"15696704","1423","1423","1423","","","","","","","","","","","",""
"15696832","","","","","","","","","","","","","1844","1844","1844"
"15697856","","","","","","","","","","1259","1259","1259","","",""
"15698752","","","","","","","","","","","","","1163","1163","1163"
"15700480","","","","3423","3423","3423","","","","170","170","170","","",""
"15700800","","","","","","","1914","1914","1914","","","","","",""
"15700992","","","","","","","","","","","","","2690","2690","2690"
"15702592","","","","","","","1743","1743","1743","","","","","",""
"15703040","1724","1724","1724","","","","","","","","","","","",""
"15703104","","","","","","","","","","","","","3308","3308","3308"
"15703360","","","","","","","","","","","","","2108","2108","2108"
"15704256","","","","1646","1646","1646","","","","","","","","",""
"15704576","1357","1357","1357","","","","","","","1388","1388","1388","1363","1363","1363"
"15705024","","","","","","","","","","307","307","307","","",""
"15705472","","","","","","","868","868","868","","","","","",""
"15705536","1022","1022","1022","","","","","","","","","","","",""
"15706112","","","","268","268","268","","","","","","","","",""
"15706880","","","","","","","1119","1119","1119","","","","","",""
"15708352","","","","1295","1295","1295","","","","","","","","",""
"15708672","","","","2170","2170","2170","","","","","","","","",""
"15710080","","","","","","","","","","3873","3873","3873","","",""
"15710272","","","","","","","","","","","","","1485","1485","1485"
"15712000","","","","2320","2320","2320","","","","","","","","",""
"15712896","","","","2637","2637","2637","","","","","","","","",""
"15713152","2437","2437","2437","1047","1047","1047","","","","","","","","",""
"15714048","","","","","","","","","","","","","2665","2665","2665"
"15715392","628","628","628","","","","","","","","","","","",""
"15715456","","","","","","","1183","1183","1183","","","","","",""
"15715648","","","","","","","4632","4632","4632","","","","","",""
"15715776","","","","","","","","","","3523","3523","3523","","",""
"15717824","","","","346","346","346","","","","","","","","",""
"15717888","","","","","","","","","","594","594","594","","",""
"15718272","","","","773","773","773","","","","","","","","",""
"15718464","","","","","","","","","","3633","3633","3633","","",""
"15719808","","","","","","","","","","774","774","774","","",""
"15720704","","","","758","758","758","","","","","","","","",""
"15722112","","","","","","","2207","2207","2207","","","","","",""
"15724096","","","","","","","","","","","","","2618","2618","2618"
"15726912","543","543","543","","","","","","","","","","","",""
"15726976","","","","","","","","","","","","","1333","1333","1333"
"15727296","3099","3099","3099","","","","","","","","","","","",""
"15727744","2388","2388","2388","569","569","569","","","","","","","","",""
"15728512","2494","2494","2494","","","","","","","","","","","",""
"15728960","","","","","","","511","511","511","","","","","",""
"15729984","","","","","","","","","","841","841","841","","",""
"15730368","","","","","","","","","","","","","2970","2970","2970"
"15730816","","","","351","351","351","1154","1154","1154","","","","","",""
"15731776","","","","","","","389","389","389","","","","","",""
"15733120","","","","2853","2853","2853","","","","","","","","",""
"15733376","542","542","542","","","","","","","","","","","",""
"15734336","","","","","","","2904","2904","2904","","","","","",""
"15734976","","","","697","697","697","","","","","","","","",""
"15736256","","","","","","","2311","2311","2311","","","","","",""
"15736384","","","","","","","750","750","750","","","","","",""
"15736512","","","","","","","","","","","","","2184","2184","2184"
"15737536","","","","","","","","","","340","340","340","","",""
"15738304","422","422","422","","","","","","","","","","","",""
"15739072","","","","","","","1243","1243","1243","","","","","",""
"15739200","","","","","","","","","","454","454","454","","",""
"15739328","","","","","","","","","","","","","2671","2671","2671"
"15739712","","","","419","419","419","","","","","","","","",""
"15740544","","","","","","","","","","690","690","690","","",""
"15741248","","","","","","","","","","","","","1912","1912","1912"
"15742080","980","980","980","","","","","","","","","","","",""
"15742592","","","","","","","1494","1494","1494","","","","","",""
"15743488","","","","","","","1993","1993","1993","","","","","",""
"15744192","","","","1402","1402","1402","","","","","","","","",""
"15744256","","","","","","","","","","1834","1834","1834","","",""
"15744832","","","","","","","","","","","","","5000","5000","5000"
"15745280","","","","","","","","","","","","","4259","4259","4259"
"15745344","1856","1856","1856","","","","","","","","","","","",""
"15748736","1200","1200","1200","","","","","","","","","","","",""
"15751360","","","","2485","2485","2485","","","","","","","","",""
"15752384","","","","","","","","","","1014","1014","1014","","",""
"15752832","","","","1830","1830","1830","","","","","","","","",""
"15753216","","","","","","","","","","","","","1277","1277","1277"
"15754240","","","","","","","","","","","","","747","747","747"
"15754880","1529","1529","1529","","","","","","","","","","","",""
"15755776","","","","","","","5000","5000","5000","","","","","",""
"15756800","","","","","","","","","","","","","2012","2012","2012"
"15756928","","","","","","","","","","537","537","537","","",""
"15757056","","","","","","","","","","2664","2664","2664","","",""
"15758208","","","","","","","413","413","413","","","","","",""
"15758400","428","428","428","","","","","","","","","","","",""
"15758592","","","","","","","578","578","578","","","","","",""
"15758976","","","","","","","857","857","857","","","","","",""
"15760256","","","","","","","669","669","669","","","","","",""
"15760896","3230","3230","3230","","","","","","","","","","","",""
"15761344","","","","","","","1451","1451","1451","","","","","",""
"15761472","","","","","","","698","698","698","","","","","",""
"15762688","","","","849","849","849","","","","","","","","",""
"15763264","555","555","555","","","","","","","","","","","",""
"15763520","2112","2112","2112","","","","","","","","","","","",""
"15765888","","","","","","","","","","","","","977","977","977"
"15766528","","","","","","","","","","2572","2572","2572","","",""
"15766848","","","","","","","","","","","","","3550","3550","3550"
"15767360","","","","","","","","","","","","","578","578","578"
"15768576","","","","","","","","","","1659","1659","1659","","",""
"15769792","","","","","","","609","609","609","","","","","",""
"15769984","","","","915","915","915","","","","","","","","",""
"15770432","","","","","","","","","","2136","2136","2136","","",""
"15771072","","","","1816","1816","1816","","","","","","","","",""
"15773888","","","","2035","2035","2035","","","","","","","","",""
"15774592","","","","","","","","","","","","","1388","1388","1388"
"15776576","956","956","956","","","","","","","","","","","",""
"15777216","","","","","","","","","","620","620","620","","",""
"15777600","3248","3248","3248","","","","","","","","","","","",""
"15778240","","","","","","","424","424","424","","","","","",""
"15778304","1797","1797","1797","1819","1819","1819","","","","","","","","",""
"15778368","","","","","","","","","","1660","1660","1660","","",""
"15779264","","","","1315","1315","1315","","","","","","","","",""
"15779520","854","854","854","","","","","","","","","","","",""
"15779712","","","","","","","","","","777","777","777","","",""
"15781248","","","","","","","","","","1059","1059","1059","","",""
"15782016","","","","","","","","","","","","","1987","1987","1987"
"15782144","","","","","","","","","","","","","945","945","945"
"15782720","","","","2900","2900","2900","","","","","","","","",""
"15782912","","","","470","470","470","","","","","","","","",""
"15782976","","","","","","","","","","605","605","605","","",""
"15784256","","","","","","","110","110","110","","","","","",""
"15784704","","","","","","","","","","","","","3993","3993","3993"
"15785792","","","","","","","","","","","","","1121","1121","1121"
"15786752","","","","1220","1220","1220","","","","","","","","",""
"15792960","1582","1582","1582","","","","","","","","","","","",""
"15794176","","","","","","","","","","5000","5000","5000","","",""
"15794496","","","","","","","","","","2153","2153","2153","","",""
"15794560","1600","1600","1600","","","","611","611","611","","","","","",""
"15795584","","","","","","","1155","1155","1155","","","","","",""
"15795776","","","","","","","","","","2272","2272","2272","","",""
"15796992","","","","","","","","","","","","","4708","4708","4708"
"15797120","","","","","","","","","","","","","1498","1498","1498"
"15799488","1164","1164","1164","","","","","","","","","","","",""
"15799616","","","","","","","","","","602","602","602","","",""
"15800128","803","803","803","","","","","","","","","","","",""
"15802240","","","","","","","","","","","","","1027","1027","1027"
"15804032","","","","","","","1744","1744","1744","","","","","",""
"15805376","","","","","","","","","","","","","1631","1631","1631"
"15805824","","","","","","","","","","749","749","749","","",""
"15806080","","","","","","","","","","2328","2328","2328","","",""
"15806976","","","","","","","2299","2299","2299","","","","","",""
"15807040","","","","","","","","","","","","","710","710","710"
"15807296","464","464","464","","","","","","","","","","","",""
"15807360","","","","","","","369","369","369","","","","","",""
